timestamp,open,high,low,close,volume
2026-03-16 13:45:00,5028.9,5030.9,5022.8,5028.2,85.5947
2026-03-16 14:00:00,5028.1,5036.8,5026.2,5027.6,57.7841
2026-03-16 14:15:00,5027.6,5028.3,5013.5,5014.1,88.1765
2026-03-16 14:30:00,5013.8,5013.8,5000.0,5000.1,111.8832
2026-03-16 14:45:00,5000.0,5000.3,4986.3,4994.5,116.0573
2026-03-16 15:00:00,4995.3,5001.0,4990.3,4997.8,74.4646
2026-03-16 15:15:00,4997.3,5004.0,4983.2,4990.6,119.5097
2026-03-16 15:30:00,4990.8,5001.0,4990.8,4997.0,412.5022
2026-03-16 15:45:00,4996.9,4998.0,4982.6,4985.8,446.5377
2026-03-16 16:00:00,4985.6,4995.0,4983.9,4994.0,67.6599
2026-03-16 16:15:00,4993.5,4994.4,4977.9,4978.2,48.7445
2026-03-16 16:30:00,4978.1,4989.0,4974.0,4987.7,562.0495
2026-03-16 16:45:00,4987.7,4992.0,4983.7,4990.0,93.2477
2026-03-16 17:00:00,4990.1,5001.9,4990.1,5000.9,62.3991
2026-03-16 17:15:00,5001.3,5002.0,4993.7,4994.7,145.6327
2026-03-16 17:30:00,4993.8,4993.8,4985.6,4987.0,26.1027
2026-03-16 17:45:00,4987.2,4990.8,4985.0,4989.9,67.0595
2026-03-16 18:00:00,4990.1,4999.0,4989.6,4997.3,30.3211
2026-03-16 18:15:00,4997.4,5005.0,4994.7,5001.5,420.6435
2026-03-16 18:30:00,5003.8,5013.1,5003.5,5012.1,121.6787
2026-03-16 18:45:00,5013.1,5014.3,5009.5,5009.5,190.4245
2026-03-16 19:00:00,5009.9,5016.3,5006.5,5009.3,113.4024
2026-03-16 19:15:00,5009.4,5012.0,5006.8,5007.5,35.8366
2026-03-16 19:30:00,5007.5,5011.0,5005.4,5007.3,114.5325
2026-03-16 19:45:00,5007.4,5012.1,5006.1,5009.0,85.6347
2026-03-16 20:00:00,5009.3,5017.6,5004.5,5013.9,296.5936
2026-03-16 20:15:00,5013.7,5013.7,5011.6,5011.9,9.416
2026-03-16 20:30:00,5011.9,5011.9,5004.9,5006.5,29.4747
2026-03-16 20:45:00,5006.5,5007.3,5003.9,5004.8,18.8241
2026-03-16 21:00:00,5004.8,5004.9,4998.9,4999.0,30.3128
2026-03-16 21:15:00,4999.1,5004.4,4998.8,5000.1,121.0187
2026-03-16 21:30:00,5000.2,5000.2,4994.3,4996.6,19.9873
2026-03-16 21:45:00,4996.7,5001.6,4996.6,5001.5,13.557
2026-03-16 22:00:00,5001.6,5012.0,4999.6,5001.1,169.3088
2026-03-16 22:15:00,5001.1,5003.5,4996.7,4997.3,22.9185
2026-03-16 22:30:00,4997.4,5001.0,4996.1,4997.5,86.4116
2026-03-16 22:45:00,4997.7,5003.4,4997.2,4997.8,100.794
2026-03-16 23:00:00,4997.9,5001.9,4997.9,5001.8,42.8673
2026-03-16 23:15:00,5001.9,5006.2,5001.8,5006.1,14.0659
2026-03-16 23:30:00,5006.2,5010.2,5006.0,5006.0,15.5693
2026-03-16 23:45:00,5005.9,5011.4,5004.0,5009.7,13.6734
2026-03-17 00:00:00,5009.7,5009.7,4999.2,5002.8,49.6172
2026-03-17 00:15:00,5002.8,5004.7,4997.1,4999.4,25.1234
2026-03-17 00:30:00,4999.7,5001.1,4995.3,4996.1,17.0272
2026-03-17 00:45:00,4997.4,5000.3,4995.4,4999.1,102.0319
2026-03-17 01:00:00,4998.2,5005.8,4991.4,5003.5,43.234
2026-03-17 01:15:00,5004.5,5008.4,5003.1,5008.4,75.9802
2026-03-17 01:30:00,5008.3,5014.4,5007.3,5012.8,75.0685
2026-03-17 01:45:00,5013.0,5022.8,5012.8,5022.6,147.9317
2026-03-17 02:00:00,5022.7,5023.1,5017.2,5018.0,154.3804
2026-03-17 02:15:00,5018.0,5019.9,5017.7,5019.8,119.3804
2026-03-17 02:30:00,5019.9,5024.7,5019.9,5024.7,138.3195
2026-03-17 02:45:00,5024.7,5025.3,5019.5,5020.5,45.6313
2026-03-17 03:00:00,5020.4,5020.6,5018.0,5018.3,46.0344
2026-03-17 03:15:00,5018.3,5028.6,5018.3,5028.1,22.7155
2026-03-17 03:30:00,5028.2,5030.1,5025.2,5025.3,112.3755
2026-03-17 03:45:00,5025.3,5025.8,5024.0,5024.1,6.1016
2026-03-17 04:00:00,5024.1,5027.5,5024.0,5027.2,34.7143
2026-03-17 04:15:00,5027.3,5030.6,5026.6,5030.6,12.0805
2026-03-17 04:30:00,5030.6,5037.2,5030.3,5037.1,57.2208
2026-03-17 04:45:00,5037.2,5040.3,5036.3,5036.5,132.8354
